"""Year"""," ""Score"" ","""Title"""
1976,99,"""Taxi Driver"""
1973,98,"""Mean Streets"""
1974,97,"""The Godfather, Part II"""
1980,97," ""Raging Bull"""
1978,93,"""The Deer Hunter"""
1973,88,"""Bang the Drum Slowly” "
1968,86,"""Greetings"""
1981,75,"""True Confessions"""
1970,73,"""Hi, Mom!"""
1977,67,"""New York, New York"""
1977,47,"""1900"""
1976,41,"""The Last Tycoon"""
1971,40,"""Born to Win"""
1970,17,"""Bloody Mama"""
